collection_contract_address,name,chain,token_standard
0x793f969bc50a848efd57e5ad177ffa26773e4b14,Perky Platypus,Ethereum,ERC-721
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,Cryptopunks,Polygon,ERC-1155
0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Pudgy Penguin,Ethereum,ERC-721
0xc4df6018f90f91bad7e24f89279305715b3a276f,Mutant Alien Apes Yacht Club,Polygon,ERC-1155
